Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerA (10),3,13
206.1672,TowerA (4),3,12
447.1528,TowerA (4),3,12
490.1292,TowerA (4),3,8
523.9488,TowerA (13),3,4
861.1578,TowerA (13),3,2
862.2589,TowerA (13),3,2
863.3599,TowerA (13),3,2
864.7413,TowerA (13),3,2
866.0025,TowerA (13),3,2
867.2037,TowerA (13),3,2
868.4649,TowerA (13),3,2
869.8863,TowerA (13),3,2
871.2676,TowerA (13),3,2
872.629,TowerA (13),3,2
874.2505,TowerA (13),3,2
875.8121,TowerA (13),3,2
877.5338,TowerA (13),3,2
879.1754,TowerA (13),3,2
880.817,TowerA (13),3,2
882.3585,TowerA (13),3,2
883.7798,TowerA (13),3,2
885.1011,TowerA (13),3,2
886.3824,TowerA (13),3,2
887.8839,TowerA (13),3,2
889.3653,TowerA (13),3,2
890.6866,TowerA (13),3,2
892.188,TowerA (13),3,2
893.6094,TowerA (13),3,2
894.9307,TowerA (13),3,2
896.3321,TowerA (13),3,2
897.7335,TowerA (13),3,2
898.9747,TowerA (13),3,2
900.2759,TowerA (13),3,2
901.5572,TowerA (13),3,2
902.8585,TowerA (13),3,2
904.1397,TowerA (13),3,2
905.6612,TowerA (13),3,2
907.0025,TowerA (13),3,2
908.524,TowerA (13),3,2
910.1055,TowerA (13),3,2
911.627,TowerA (13),3,2
913.1685,TowerA (13),3,2
914.8301,TowerA (13),3,2
916.4517,TowerA (13),3,2
917.9532,TowerA (13),3,2
919.5547,TowerA (13),3,2
921.2764,TowerA (13),3,2
922.938,TowerA (13),3,2
924.4195,TowerA (13),3,2
925.7408,TowerA (13),3,2
927.002,TowerA (13),3,2
928.4434,TowerA (13),3,2
929.9048,TowerA (13),3,2
931.3062,TowerA (13),3,2
932.7476,TowerA (13),3,2
934.1089,TowerA (13),3,2
935.4903,TowerA (13),3,2
936.9117,TowerA (13),3,2
938.3331,TowerA (13),3,2
939.6744,TowerA (13),3,2
941.0958,TowerA (13),3,2
942.397,TowerA (13),3,2
943.7183,TowerA (13),3,2
945.2598,TowerA (13),3,1
946.9815,TowerA (13),3,1
948.6231,TowerA (13),3,1
950.4249,TowerA (13),3,1
951.8262,TowerA (13),3,1
953.1475,TowerA (13),3,1
954.5689,TowerA (13),3,1
956.1505,TowerA (13),3,1
957.5919,TowerA (13),3,1
958.9932,TowerA (13),3,1
960.3145,TowerA (13),3,1
961.6558,TowerA (13),3,1
963.3575,TowerA (13),3,1
964.9791,TowerA (13),3,1
966.5406,TowerA (13),3,1
968.002,TowerA (13),3,1
969.5235,TowerA (13),3,1
971.025,TowerA (13),3,1
972.5665,TowerA (13),3,1
974.128,TowerA (13),3,1
975.6295,TowerA (13),3,1
977.251,TowerA (13),3,1
978.7925,TowerA (13),3,1
980.314,TowerA (13),3,1
981.6954,TowerA (13),3,1
982.9166,TowerA (13),3,1
984.1177,TowerA (13),3,1
985.2989,TowerA (13),3,1
986.6802,TowerA (13),3,1
987.9815,TowerA (13),3,1
989.4229,TowerA (13),3,1
991.1046,TowerA (13),3,1
992.6661,TowerA (13),3,1
994.1275,TowerA (13),3,1
995.5889,TowerA (13),3,1
996.8702,TowerA (13),3,1
998.1514,TowerA (13),3,1
999.6329,TowerA (13),3,1
1001.074,TowerA (13),3,1
1002.396,TowerA (13),3,1
1003.817,TowerA (13),3,1
1005.298,TowerA (13),3,1
1006.72,TowerA (13),3,1
1008.301,TowerA (13),3,1
1009.943,TowerA (13),3,1
1011.504,TowerA (13),3,1
1013.086,TowerA (13),3,1
1014.668,TowerA (13),3,1
1016.209,TowerA (13),3,1
1017.731,TowerA (13),3,1
1019.192,TowerA (13),3,1
1020.493,TowerA (13),3,1
1021.794,TowerA (13),3,1
1023.076,TowerA (13),3,1
1024.257,TowerA (13),3,1
1025.438,TowerA (13),3,1
1026.679,TowerA (13),3,1
1027.9,TowerA (13),3,1
1029.382,TowerA (13),3,1
