Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerA (8),3.5,8
81.03841,TowerA (8),3.5,8
112.2732,TowerA (8),3.5,7
131.8914,TowerA (8),3.5,4
144.474,TowerA (8),3.5,3
153.9961,TowerA (8),3.5,3
161.6777,TowerA (8),3.5,3
168.9393,TowerA (8),3.5,3
176.1008,TowerA (8),3.5,3
181.922,TowerA (8),3.5,3
187.5432,TowerA (8),3.5,3
193.0844,TowerA (8),3.5,3
198.1255,TowerA (8),3.5,3
203.2066,TowerA (8),3.5,3
207.5075,TowerA (8),3.5,3
210.9482,TowerA (8),3.5,3
214.549,TowerA (8),3.5,3
218.1698,TowerA (8),3.5,3
221.3305,TowerA (8),3.5,3
224.3911,TowerA (8),3.5,3
227.4118,TowerA (8),3.5,3
230.3924,TowerA (8),3.5,3
233.413,TowerA (8),3.5,3
236.4937,TowerA (8),3.5,3
239.5944,TowerA (8),3.5,3
243.1151,TowerA (8),3.5,3
246.2158,TowerA (8),3.5,3
249.2364,TowerA (8),3.5,3
252.5771,TowerA (8),3.5,3
255.7978,TowerA (8),3.5,3
258.9163,TowerA (8),3.5,3
262.2344,TowerA (8),3.5,3
265.4527,TowerA (8),3.5,3
268.511,TowerA (8),3.5,3
271.5893,TowerA (8),3.5,3
274.6876,TowerA (8),3.5,3
277.7059,TowerA (8),3.5,3
280.8442,TowerA (8),3.5,3
284.2423,TowerA (8),3.5,3
287.7204,TowerA (8),3.5,3
291.1385,TowerA (8),3.5,3
294.2368,TowerA (8),3.5,3
297.3351,TowerA (8),3.5,3
300.4135,TowerA (8),3.5,3
303.7916,TowerA (8),3.5,3
306.9898,TowerA (8),3.5,3
310.2281,TowerA (8),3.5,3
313.3264,TowerA (8),3.5,3
316.3447,TowerA (8),3.5,3
319.443,TowerA (8),3.5,3
322.6612,TowerA (8),3.5,3
325.6196,TowerA (8),3.5,3
328.6779,TowerA (8),3.5,3
332.176,TowerA (8),3.5,3
335.5142,TowerA (8),3.5,3
338.4925,TowerA (8),3.5,3
341.6308,TowerA (8),3.5,3
344.7091,TowerA (8),3.5,3
347.7075,TowerA (8),3.5,3
350.9057,TowerA (8),3.5,3
354.3038,TowerA (8),3.5,3
357.3622,TowerA (8),3.5,3
360.3405,TowerA (8),3.5,3
363.5188,TowerA (8),3.5,3
366.6371,TowerA (8),3.5,3
369.6754,TowerA (8),3.5,3
373.1135,TowerA (8),3.5,3
376.4716,TowerA (8),3.5,3
379.7099,TowerA (8),3.5,3
382.7882,TowerA (8),3.5,3
385.9065,TowerA (8),3.5,3
389.0647,TowerA (8),3.5,3
392.143,TowerA (8),3.5,3
395.5811,TowerA (8),3.5,3
398.8793,TowerA (8),3.5,3
402.1975,TowerA (8),3.5,3
405.2758,TowerA (8),3.5,3
408.4141,TowerA (8),3.5,3
411.8122,TowerA (8),3.5,3
415.2503,TowerA (8),3.5,3
418.7884,TowerA (8),3.5,3
423.3859,TowerA (8),3.5,3
426.6441,TowerA (8),3.5,3
429.7224,TowerA (8),3.5,3
432.8007,TowerA (8),3.5,3
435.939,TowerA (8),3.5,3
439.1372,TowerA (8),3.5,3
442.2355,TowerA (8),3.5,3
445.5737,TowerA (8),3.5,3
448.692,TowerA (8),3.5,3
451.7303,TowerA (8),3.5,3
454.7486,TowerA (8),3.5,3
457.8869,TowerA (8),3.5,3
460.9452,TowerA (8),3.5,3
464.2234,TowerA (8),3.5,3
467.6615,TowerA (8),3.5,3
470.8198,TowerA (8),3.5,3
474.038,TowerA (8),3.5,3
477.0764,TowerA (8),3.5,3
480.2346,TowerA (8),3.5,3
483.4928,TowerA (8),3.5,3
486.6311,TowerA (8),3.5,3
489.9493,TowerA (8),3.5,3
493.2874,TowerA (8),3.5,3
496.4257,TowerA (8),3.5,3
499.4041,TowerA (8),3.5,3
502.6423,TowerA (8),3.5,3
505.7206,TowerA (8),3.5,3
508.7989,TowerA (8),3.5,3
512.2173,TowerA (8),3.5,3
515.4005,TowerA (8),3.5,3
518.4234,TowerA (8),3.5,3
521.4864,TowerA (8),3.5,3
524.6094,TowerA (8),3.5,3
527.5923,TowerA (8),3.5,3
530.5753,TowerA (8),3.5,3
533.7183,TowerA (8),3.5,3
536.9214,TowerA (8),3.5,3
540.0045,TowerA (8),3.5,3
543.1075,TowerA (8),3.5,3
546.3106,TowerA (8),3.5,3
549.2935,TowerA (8),3.5,3
552.4566,TowerA (8),3.5,3
556.1602,TowerA (8),3.5,3
559.2432,TowerA (8),3.5,3
562.2261,TowerA (8),3.5,3
565.5494,TowerA (8),3.5,3
568.6124,TowerA (8),3.5,3
571.6754,TowerA (8),3.5,3
574.8384,TowerA (8),3.5,3
577.8614,TowerA (8),3.5,3
581.0045,TowerA (8),3.5,3
584.3277,TowerA (8),3.5,3
587.5909,TowerA (8),3.5,3
590.6739,TowerA (8),3.5,3
593.9571,TowerA (8),3.5,3
597.2403,TowerA (8),3.5,3
600.8238,TowerA (8),3.5,3
603.9669,TowerA (8),3.5,3
607.2901,TowerA (8),3.5,3
610.313,TowerA (8),3.5,3
613.3961,TowerA (8),3.5,3
616.5391,TowerA (8),3.5,3
619.502,TowerA (8),3.5,3
622.6451,TowerA (8),3.5,3
625.9683,TowerA (8),3.5,3
629.1915,TowerA (8),3.5,3
632.2144,TowerA (8),3.5,3
635.5176,TowerA (8),3.5,3
638.7208,TowerA (8),3.5,3
