Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerA (7),3,12
257.3171,TowerA (4),3,12
334.8745,TowerA (13),3,10
658.3199,TowerA (13),3,10
673.0943,TowerA (13),3,10
686.7476,TowerA (13),3,10
694.1749,TowerA (13),3,10
701.6422,TowerA (13),3,9
709.0294,TowerA (13),3,8
718.0181,TowerA (13),3,8
724.5045,TowerA (13),3,8
730.9908,TowerA (13),3,8
737.6573,TowerA (13),3,6
743.4229,TowerA (13),3,5
748.4078,TowerA (13),3,4
753.1924,TowerA (13),3,4
758.3375,TowerA (13),3,4
763.3624,TowerA (13),3,4
767.6465,TowerA (13),3,4
772.2911,TowerA (13),3,4
776.8555,TowerA (13),3,4
781.6802,TowerA (13),3,4
786.2447,TowerA (13),3,4
790.649,TowerA (13),3,4
795.2935,TowerA (13),3,4
800.5587,TowerA (13),3,4
805.3433,TowerA (10),3,4
1011.284,TowerA (10),3,3
1020.413,TowerA (10),3,3
1029.642,TowerA (10),3,3
1038.311,TowerA (10),3,3
1047.299,TowerA (10),3,3
1055.828,TowerA (10),3,3
1064.957,TowerA (10),3,3
1074.105,TowerA (10),3,3
1083.775,TowerA (10),3,3
1093.144,TowerA (10),3,3
1102.673,TowerA (10),3,3
1111.802,TowerA (10),3,3
1121.572,TowerA (10),3,3
1130.3,TowerA (10),3,3
1139.209,TowerA (10),3,3
1146.256,TowerA (10),3,3
1153.263,TowerA (10),3,3
1161.851,TowerA (10),3,3
1169.218,TowerA (10),3,3
1175.524,TowerA (10),3,3
1181.771,TowerA (10),3,3
1187.456,TowerA (10),3,3
1192.921,TowerA (10),3,3
1197.546,TowerA (10),3,3
1202.431,TowerA (10),3,2
1207.816,TowerA (10),3,2
1211.62,TowerA (10),3,2
1215.363,TowerA (10),3,2
1218.807,TowerA (10),3,2
1222.21,TowerA (10),3,1
1226.034,TowerA (10),3,1
1229.637,TowerA (10),3,1
1232.6,TowerA (10),3,1
1235.943,TowerA (10),3,1
1238.746,TowerA (10),3,1
1241.429,TowerA (10),3,1
1243.991,TowerA (10),3,1
1247.134,TowerA (10),3,1
1249.917,TowerA (10),3,1
1252.259,TowerA (10),3,1
1254.642,TowerA (10),3,1
1256.984,TowerA (10),3,1
1259.546,TowerA (10),3,1
1262.009,TowerA (10),3,1
