Limit Time,End Time Sec,Total EvacueePrefab; Count,Drone Count,Final Evacuate Rate
1800,1800,200,4,0.995
1900,1319.425,200,4,1
2000,1411.695,200,4,1
2100,1333.438,200,4,1
2200,1445.248,200,4,1
2300,1208.857,200,4,1
2400,1411.515,200,4,1
