Evacuation Rate, Time
0, 0
0, 1
0, 2
0, 3
0, 4
0, 5
0, 6
0, 7
0, 8
0, 9
0, 10
0, 11
0, 12
0, 13
0, 14
0, 15
0, 16
0, 17
0, 18
0, 19
0, 20
0, 21
0, 22
0, 23
0, 24
0, 25
0, 26
0, 27
0, 28
0, 29
0, 30
0, 31
0, 32
0, 33
0, 34
0, 35
0, 36
0, 37
0, 38
0, 39
0, 40
0, 41
0, 42
0, 43
0, 44
0, 45
0, 46
0, 47
0, 48
0, 49
0, 50
0, 51
0, 52
0, 53
0, 54
0, 55
0, 56
0, 57
0, 58
0, 59
0, 60
0, 61
0, 62
0, 63
0, 64
0, 65
0, 66
0, 67
0, 68
0, 69
0, 70
0, 71
0, 72
0, 73
0, 74
0, 75
0, 76
0, 77
0, 78
0, 79
0, 80
0, 81
0, 82
0, 83
0, 84
0, 85
0, 86
0, 87
0, 88
0, 89
0, 90
0, 91
0, 92
0, 93
0, 94
0, 95
0, 96
0, 97
0, 98
0, 99
0, 100
0, 101
0, 102
0, 103
0, 104
0, 105
0, 106
0, 107
0, 108
0, 109
0, 110
0, 111
0, 112
0, 113
0, 114
0, 115
0, 116
0, 117
0, 118
0, 119
0, 120
0, 121
0, 122
0, 123
0, 124
0, 125
0, 126
0, 127
0, 128
0, 129
0, 130
0, 131
0, 132
0, 133
0, 134
0, 135
0, 136
0, 137
0, 138
0, 139
0, 140
0, 141
0.01, 142
0.01, 143
0.01, 144
0.01, 145
0.01, 146
0.01, 147
0.01, 148
0.01, 149
0.01, 150
0.01, 151
0.01, 152
0.01, 153
0.01, 154
0.01, 155
0.01, 156
0.01, 157
0.01, 158
0.01, 159
0.01, 160
0.01, 161
0.01, 162
0.01, 163
0.01, 164
0.01, 165
0.01, 166
0.01, 167
0.01, 168
0.01, 169
0.01, 170
0.01, 171
0.01, 172
0.01, 173
0.01, 174
0.01, 175
0.01, 176
0.02, 177
0.02, 178
0.02, 179
0.02, 180
0.02, 181
0.02, 182
0.02, 183
0.02, 184
0.02, 185
0.02, 186
0.02, 187
0.02, 188
0.02, 189
0.02, 190
0.02, 191
0.02, 192
0.02, 193
0.02, 194
0.02, 195
0.02, 196
0.03, 197
0.03, 198
0.03, 199
0.03, 200
0.03, 201
0.03, 202
0.03, 203
0.03, 204
0.03, 205
0.03, 206
0.03, 207
0.03, 208
0.03, 209
0.03, 210
0.03, 211
0.03, 212
0.03, 213
0.03, 214
0.03, 215
0.03, 216
0.04, 217
0.04, 218
0.04, 219
0.04, 220
0.04, 221
0.04, 222
0.04, 223
0.04, 224
0.04, 225
0.04, 226
0.04, 227
0.05, 228
0.05, 229
0.05, 230
0.05, 231
0.05, 232
0.05, 233
0.05, 234
0.05, 235
0.05, 236
0.05, 237
0.06, 238
0.06, 239
0.06, 240
0.06, 241
0.06, 242
0.06, 243
0.06, 244
0.06, 245
0.06, 246
0.06, 247
0.06, 248
0.06, 249
0.06, 250
0.06, 251
0.06, 252
0.06, 253
0.06, 254
0.07, 255
0.07, 256
0.07, 257
0.07, 258
0.07, 259
0.07, 260
0.07, 261
0.07, 262
0.07, 263
0.07, 264
0.07, 265
0.07, 266
0.07, 267
0.07, 268
0.08, 269
0.08, 270
0.08, 271
0.08, 272
0.08, 273
0.09, 274
0.09, 275
0.09, 276
0.09, 277
0.1, 278
0.1, 279
0.1, 280
0.1, 281
0.1, 282
0.1, 283
0.1, 284
0.1, 285
0.1, 286
0.1, 287
0.1, 288
0.1, 289
0.1, 290
0.1, 291
0.1, 292
0.1, 293
0.1, 294
0.1, 295
0.1, 296
0.1, 297
0.1, 298
0.1, 299
0.11, 300
0.11, 301
0.11, 302
0.12, 303
0.12, 304
0.12, 305
0.12, 306
0.13, 307
0.13, 308
0.13, 309
0.13, 310
0.13, 311
0.13, 312
0.13, 313
0.13, 314
0.13, 315
0.13, 316
0.13, 317
0.13, 318
0.13, 319
0.13, 320
0.13, 321
0.13, 322
0.13, 323
0.13, 324
0.13, 325
0.13, 326
0.13, 327
0.13, 328
0.14, 329
0.14, 330
0.14, 331
0.14, 332
0.14, 333
0.15, 334
0.15, 335
0.15, 336
0.16, 337
0.16, 338
0.16, 339
0.16, 340
0.16, 341
0.16, 342
0.16, 343
0.16, 344
0.17, 345
0.17, 346
0.17, 347
0.17, 348
0.17, 349
0.17, 350
0.17, 351
0.17, 352
