Limit Time,End Time Sec,Total EvacueePrefab; Count,Drone Count,Final Evacuate Rate
1800,1432.775,200,4,1
1900,1838.331,200,4,1
2000,1555.455,200,4,1
2100,1761.316,200,4,1
2200,1518.159,200,4,1
2300,1508.329,200,4,1
2400,1635.533,200,4,1
2400,1405.509,200,4,1
2400,1920.371,200,4,1
