Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerA (10),3,17
139.1929,TowerA (4),3,17
383.4078,TowerA (4),3,10
405.1959,TowerA (4),3,10
428.1632,TowerA (4),3,9
456.2078,TowerA (4),3,9
481.8737,TowerA (13),3,11
814.1519,TowerA (13),3,26
815.3331,TowerA (13),3,26
816.6143,TowerA (13),3,26
817.8956,TowerA (13),3,26
819.1968,TowerA (13),3,26
820.398,TowerA (13),3,26
821.6592,TowerA (13),3,26
822.9805,TowerA (13),3,25
824.4019,TowerA (13),3,25
825.8233,TowerA (13),3,24
827.2647,TowerA (13),3,24
828.9864,TowerA (13),3,24
830.628,TowerA (13),3,24
832.3497,TowerA (13),3,24
834.0714,TowerA (13),3,24
835.6729,TowerA (13),3,23
837.2344,TowerA (13),3,23
838.9361,TowerA (13),3,23
