Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerA (7),3,16
268.3311,TowerA (4),3,16
350.8257,TowerA (13),3,14
679.7408,TowerA (13),3,8
681.0421,TowerA (13),3,8
682.3433,TowerA (13),3,8
683.6046,TowerA (13),3,8
685.2462,TowerA (13),3,8
686.7476,TowerA (13),3,8
688.0289,TowerA (13),3,8
689.21,TowerA (13),3,8
690.3912,TowerA (13),3,8
691.6724,TowerA (13),3,8
692.9737,TowerA (13),3,7
694.1749,TowerA (13),3,7
695.5362,TowerA (13),3,7
697.1378,TowerA (13),3,6
698.4991,TowerA (13),3,6
700.0606,TowerA (13),3,6
701.6422,TowerA (13),3,6
703.1036,TowerA (13),3,6
704.565,TowerA (13),3,6
706.0064,TowerA (13),3,6
707.5279,TowerA (13),3,6
709.0294,TowerA (13),3,6
710.8712,TowerA (13),3,6
713.3135,TowerA (13),3,6
715.1353,TowerA (13),3,6
716.6568,TowerA (13),3,6
718.0181,TowerA (13),3,6
719.4195,TowerA (13),3,6
720.7007,TowerA (13),3,6
722.022,TowerA (13),3,6
723.2833,TowerA (13),3,6
724.5045,TowerA (13),3,6
725.8658,TowerA (13),3,6
727.1871,TowerA (13),3,6
728.3482,TowerA (13),3,6
729.6295,TowerA (13),3,6
730.9908,TowerA (13),3,6
732.1719,TowerA (13),3,6
733.4332,TowerA (13),3,6
734.7344,TowerA (13),3,6
736.1959,TowerA (13),3,6
737.6573,TowerA (13),3,5
739.1588,TowerA (13),3,5
740.6002,TowerA (13),3,5
742.0416,TowerA (13),3,5
743.4229,TowerA (13),3,5
744.7242,TowerA (13),3,5
746.0054,TowerA (13),3,5
747.2266,TowerA (13),3,5
748.4078,TowerA (13),3,5
749.649,TowerA (13),3,5
750.9102,TowerA (13),3,5
752.0914,TowerA (13),3,5
753.1924,TowerA (13),3,5
754.4537,TowerA (13),3,5
755.6749,TowerA (13),3,5
757.0362,TowerA (13),3,5
758.3375,TowerA (13),3,5
759.7589,TowerA (13),3,5
761.0401,TowerA (13),3,5
762.2613,TowerA (13),3,5
763.3624,TowerA (13),3,5
764.4434,TowerA (13),3,5
765.4644,TowerA (13),3,5
766.5255,TowerA (13),3,5
767.6465,TowerA (13),3,5
768.9278,TowerA (13),3,5
770.0689,TowerA (13),3,5
771.21,TowerA (13),3,5
772.2911,TowerA (13),3,5
773.5123,TowerA (13),3,5
774.6334,TowerA (13),3,5
775.7144,TowerA (13),3,5
776.8555,TowerA (13),3,5
778.0967,TowerA (13),3,5
779.2379,TowerA (13),3,5
780.399,TowerA (13),3,5
781.6802,TowerA (13),3,5
783.0416,TowerA (13),3,5
784.1827,TowerA (13),3,5
785.2237,TowerA (13),3,5
786.2447,TowerA (13),3,5
787.4058,TowerA (13),3,5
788.5069,TowerA (13),3,5
789.588,TowerA (13),3,5
790.649,TowerA (13),3,5
791.8902,TowerA (13),3,5
793.0914,TowerA (13),3,5
794.1524,TowerA (13),3,5
795.2935,TowerA (13),3,5
796.6148,TowerA (13),3,5
797.796,TowerA (13),3,5
799.2374,TowerA (13),3,5
800.5587,TowerA (13),3,5
801.8199,TowerA (13),3,5
803.0811,TowerA (13),3,5
804.2823,TowerA (13),3,5
805.3433,TowerA (10),3,5
1010.383,TowerA (10),3,5
1018.391,TowerA (10),3,5
1027.7,TowerA (10),3,5
1036.389,TowerA (10),3,5
1045.377,TowerA (10),3,5
1053.986,TowerA (10),3,5
1062.854,TowerA (10),3,5
1072.144,TowerA (10),3,5
1081.733,TowerA (10),3,5
1091.002,TowerA (10),3,4
1099.11,TowerA (10),3,4
1108.679,TowerA (10),3,4
1118.589,TowerA (10),3,4
1126.417,TowerA (10),3,4
1134.685,TowerA (10),3,2
1142.312,TowerA (10),3,2
1150.06,TowerA (10),3,1
1158.127,TowerA (10),3,1
