Elapsed Sec,Evacuee Count
0.9799992,15
7.639993,15
10.88006,15
12.7201,15
14.02013,15
15.14016,15
16.24018,15
17.30021,15
18.36023,15
19.44025,15
20.62028,15
21.72031,15
22.90033,15
24.02036,15
25.16039,15
26.32041,15
27.46044,15
28.68047,15
29.82049,15
31.02052,15
32.14054,15
33.28057,15
34.4806,15
35.66063,15
36.84065,15
38.00068,15
39.26071,15
40.44073,15
41.64076,15
42.80079,15
44.10082,15
45.40085,15
46.72088,15
48.02091,15
49.24094,15
50.46096,15
51.70099,15
52.96102,15
54.32105,15
55.72108,15
57.12112,15
58.50115,15
59.90118,15
61.30121,15
62.66124,15
63.96127,15
65.32105,15
66.70082,15
68.06059,15
69.42036,15
71.0201,15
72.59983,15
74.15957,15
75.7393,15
77.23905,15
78.7588,15
80.09857,15
81.35836,15
82.83811,15
84.23788,15
85.63764,15
87.01741,15
88.41718,15
89.81694,15
91.2367,15
92.61647,15
93.97624,15
95.35601,15
96.69579,15
98.05556,15
99.47532,15
101.0151,15
102.5348,15
104.0546,15
105.5143,15
106.9541,15
108.7738,15
110.4135,15
112.0532,15
113.7929,15
115.5126,15
117.1124,15
118.7721,15
120.2318,15
121.5516,15
122.8114,15
124.1312,15
125.471,15
126.8107,15
128.1506,15
129.4908,15
130.7111,15
132.0714,15
133.5317,15
134.852,15
136.0923,15
137.3525,15
138.5928,15
139.8531,15
141.2534,15
142.6737,15
143.9939,15
145.3542,15
146.8345,15
148.2148,15
149.7952,15
151.3155,15
152.7358,15
154.1161,15
155.5364,15
156.8967,15
158.217,15
159.5173,15
160.8175,15
162.0778,15
163.2381,15
164.3783,15
165.4985,15
166.6988,15
168.0991,15
169.4794,15
170.6996,15
172.0199,15
173.3402,15
174.5805,15
175.8007,15
177.101,15
178.3813,15
179.9016,15
181.2619,15
182.4221,15
183.7024,15
185.0427,15
186.203,15
187.4832,15
188.8235,15
190.0638,15
191.4641,15
192.8644,15
194.1046,15
195.605,15
197.0653,15
198.2655,15
199.5458,15
200.8261,15
202.0063,15
203.4666,15
204.8469,15
206.0872,15
207.4475,15
208.8278,15
210.0681,15
211.2083,15
212.3085,15
213.4288,15
214.509,15
215.6492,15
216.8495,15
218.1098,15
219.4501,15
220.7103,15
221.8906,15
223.1909,15
224.3911,15
225.4913,15
226.6716,15
227.7918,15
228.9321,15
230.2324,15
231.6527,15
232.8729,15
234.0132,15
235.2134,15
236.5137,15
237.774,15
239.0342,15
240.5746,15
242.1749,15
243.6552,15
245.0755,15
246.4558,15
247.8961,15
249.2964,15
250.5167,15
251.937,15
253.3373,15
254.5175,15
255.9178,15
257.3171,15
258.5964,15
260.0356,15
261.3949,15
262.6142,15
264.0135,15
265.5526,15
266.9718,15
268.3311,15
269.6504,15
270.8297,15
272.069,15
273.5282,15
274.7675,15
276.0868,15
277.506,15
278.7054,15
279.9647,15
281.304,15
282.5033,15
283.8026,15
285.1618,15
286.3612,15
287.7604,15
289.1197,15
290.2191,15
291.3984,15
292.6177,15
293.6572,15
294.7566,15
295.856,15
296.9354,15
298.1147,15
299.334,15
300.3735,15
301.5928,15
302.7921,15
303.8316,15
304.9909,15
306.1703,15
307.2297,15
308.489,15
309.7883,15
310.9077,15
311.9271,15
312.9266,15
313.886,15
314.8655,15
315.8849,15
316.8844,15
317.8639,15
318.8833,15
319.8628,15
320.8022,15
321.7217,15
322.7012,15
323.6207,15
324.5402,15
325.4797,15
326.4391,15
327.3986,15
328.3581,15
329.5175,15
330.6568,15
331.7562,15
332.7757,15
333.8551,15
334.8745,15
335.854,15
336.8934,15
338.0128,15
339.0322,15
340.0517,15
341.0511,15
342.0306,15
343.03,15
344.0095,15
345.0089,15
345.9884,15
346.9679,15
347.9073,15
348.8468,15
349.8263,15
350.8257,15
352.0051,15
353.1245,15
354.1839,15
355.2233,15
356.4027,15
357.4421,15
358.4216,15
359.441,15
360.5404,15
361.4799,15
362.4194,15
363.4588,15
364.4782,15
365.4577,15
366.4172,15
367.3567,15
368.2562,15
369.1557,15
370.0552,15
370.9947,15
371.8942,15
372.7937,15
373.6932,15
374.6327,15
375.6121,15
376.6116,15
377.691,15
378.7104,15
379.7698,15
380.9692,15
381.9886,15
382.9481,15
383.9475,15
384.967,15
385.9265,15
386.8659,15
387.8054,15
388.7449,15
389.6444,15
390.5839,15
391.5034,15
392.5428,15
393.5023,15
394.4218,15
395.3613,15
396.4007,15
397.4601,15
398.4995,15
399.559,15
400.5384,15
401.4579,15
402.4174,15
403.3569,15
404.2564,15
405.1759,15
406.0754,15
406.9749,15
407.8144,15
408.7139,15
409.6334,15
410.5129,15
411.3525,15
412.292,15
413.2714,15
414.2109,15
415.1304,15
416.0899,15
417.0693,15
418.0288,15
419.0283,15
420.0077,15
420.9872,15
421.9866,15
422.9661,15
424.0055,15
424.965,15
425.9445,15
426.8839,15
427.8034,15
428.683,15
429.5425,15
430.462,15
431.3815,15
432.301,15
433.2604,15
