Elapsed Sec,Destination,Speed,Guided Evacuees
0,TowerA (7),3,12
297.3351,TowerA (4),3,12
392.4429,TowerA (13),3,21
727.7476,TowerA (13),3,25
728.9488,TowerA (13),3,25
730.15,TowerA (13),3,25
731.2711,TowerA (13),3,25
732.4722,TowerA (13),3,25
733.5733,TowerA (13),3,25
734.7144,TowerA (13),3,25
735.8155,TowerA (13),3,25
737.0167,TowerA (13),3,25
738.1177,TowerA (13),3,25
739.2188,TowerA (13),3,24
740.3399,TowerA (13),3,23
741.7413,TowerA (13),3,23
743.1827,TowerA (13),3,23
744.4639,TowerA (13),3,23
746.0054,TowerA (13),3,23
747.5469,TowerA (13),3,22
749.1085,TowerA (13),3,21
750.71,TowerA (13),3,21
752.1714,TowerA (13),3,21
753.5528,TowerA (13),3,21
754.9341,TowerA (13),3,20
756.1353,TowerA (13),3,20
757.2964,TowerA (13),3,19
758.4776,TowerA (13),3,19
759.879,TowerA (13),3,18
761.4005,TowerA (13),3,18
762.8619,TowerA (13),3,18
764.4634,TowerA (13),3,18
765.8648,TowerA (13),3,18
767.066,TowerA (13),3,18
768.2872,TowerA (13),3,18
769.5284,TowerA (13),3,17
770.7095,TowerA (13),3,17
772.0308,TowerA (13),3,17
773.3922,TowerA (13),3,17
774.6133,TowerA (13),3,16
775.7945,TowerA (13),3,15
776.9556,TowerA (13),3,15
778.0967,TowerA (13),3,14
779.378,TowerA (13),3,14
780.6192,TowerA (13),3,14
781.8004,TowerA (13),3,14
783.1617,TowerA (13),3,14
784.463,TowerA (13),3,14
785.6641,TowerA (13),3,14
787.0655,TowerA (13),3,14
788.5469,TowerA (13),3,13
789.9283,TowerA (13),3,13
791.4097,TowerA (13),3,13
792.9112,TowerA (13),3,13
794.2325,TowerA (13),3,13
795.5137,TowerA (13),3,12
796.9752,TowerA (13),3,12
798.2164,TowerA (13),3,12
799.5377,TowerA (13),3,11
800.9791,TowerA (13),3,11
802.2203,TowerA (13),3,11
803.7217,TowerA (13),3,11
805.3233,TowerA (13),3,11
806.7647,TowerA (13),3,10
808.1861,TowerA (13),3,10
809.5274,TowerA (13),3,10
810.9288,TowerA (13),3,10
812.3301,TowerA (13),3,10
813.6114,TowerA (13),3,10
814.7525,TowerA (13),3,10
815.8536,TowerA (13),3,10
816.8946,TowerA (13),3,10
818.0557,TowerA (13),3,10
819.2369,TowerA (13),3,10
820.338,TowerA (13),3,10
821.5992,TowerA (13),3,10
822.9605,TowerA (13),3,10
824.1417,TowerA (13),3,10
825.503,TowerA (13),3,10
826.8443,TowerA (13),3,10
828.0655,TowerA (13),3,10
829.2266,TowerA (13),3,10
830.3878,TowerA (13),3,10
831.5089,TowerA (13),3,10
832.8301,TowerA (13),3,10
834.1114,TowerA (13),3,10
835.2325,TowerA (13),3,10
836.4537,TowerA (13),3,10
837.775,TowerA (13),3,10
839.0162,TowerA (13),3,10
840.3975,TowerA (13),3,10
841.8589,TowerA (13),3,10
843.2403,TowerA (13),3,10
844.4615,TowerA (13),3,9
845.5626,TowerA (13),3,9
846.6636,TowerA (13),3,8
847.9249,TowerA (13),3,8
849.1661,TowerA (13),3,8
850.2672,TowerA (13),3,8
851.5084,TowerA (13),3,8
852.8096,TowerA (13),3,8
853.9908,TowerA (13),3,8
855.1119,TowerA (13),3,8
856.213,TowerA (10),3,8
1062.214,TowerA (10),3,8
1074.666,TowerA (10),3,8
1086.678,TowerA (10),3,8
1099.69,TowerA (10),3,8
1113.184,TowerA (10),3,8
1126.016,TowerA (10),3,8
1140.811,TowerA (10),3,8
1154.424,TowerA (10),3,8
1167.096,TowerA (10),3,6
1179.388,TowerA (10),3,4
1189.758,TowerA (10),3,2
1199.668,TowerA (10),3,2
1208.997,TowerA (10),3,2
1217.045,TowerA (10),3,2
1225.914,TowerA (10),3,2
1233.041,TowerA (10),3,2
1240.027,TowerA (10),3,2
1247.375,TowerA (10),3,2
1254.902,TowerA (10),3,2
1260.768,TowerA (10),3,2
1266.894,TowerA (10),3,2
1273.08,TowerA (10),3,2
1277.664,TowerA (10),3,2
1282.349,TowerA (10),3,2
1287.774,TowerA (10),3,2
1292.198,TowerA (10),3,2
1296.723,TowerA (10),3,2
1300.386,TowerA (10),3,2
1304.25,TowerA (10),3,2
1306.933,TowerA (11),3,2
1412.355,TowerA (11),3,2
1414.938,TowerA (11),3,2
1417.48,TowerA (11),3,2
1420.003,TowerA (11),3,2
1422.525,TowerA (11),3,2
1425.008,TowerA (11),3,2
1427.791,TowerA (11),3,2
1430.293,TowerA (11),3,2
1432.755,TowerA (11),3,2
1435.338,TowerA (11),3,2
1437.7,TowerA (11),3,2
