Limit Time,End Time Sec,Total EvacueePrefab; Count,Drone Count,Final Evacuate Rate
1800,1800,200,4,0.75
1900,1900,200,4,0.67
2000,1701.758,200,4,1
2100,2100,200,4,0.575
2200,1464.146,200,4,1
2300,2300,200,4,0.565
2400,1488.55,200,4,1
2400,2400,200,4,0.71
