Limit Time,End Time Sec,Total EvacueePrefab; Count,Drone Count,Final Evacuate Rate
1800,1800,200,4,0.13
1900,1900,200,4,0.26
2000,2000,200,4,0.185
2100,2100,200,4,0.275
2200,2200,200,4,0.315
2300,2300,200,4,0.215
2400,2400,200,4,0.16
